id,code,title,categoryId,roomGroup,roomSection,roomName,typeGroup,typeSection,baselineSpec,baselineBudgetExVat,quantity,unit,decisionStage,priority,description,architectNote,status,selectedName,selectedSource,selectedSourceUrl,selectedCostExVat,selectedNotes,createdAt,updatedAt
secondary-structural-metalwork,SECONDARY-STRUCTURAL-METALWORK,Secondary structural metalwork,structure,General / whole project,Structure,General / whole project,Structural shell,Secondary steel,"Allowances for secondary steel, brackets, and local support metalwork.",5000.00,,,now,medium,Use this to contain local steel creep rather than letting it sit as undefined contractor extras.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
timber-infill-and-structural-carpentry,TIMBER-INFILL-AND-STRUCTURAL-CARPENTRY,Timber infill and structural carpentry,structure,General / whole project,Structure,General / whole project,Structural shell,Secondary structure,Basic timber infill and structural carpentry around the steel frame.,7000.00,,,now,medium,Budget-bearing item for the non-steel structural elements that complete the shell.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
visible-steel-finish-decision,VISIBLE-STEEL-FINISH-DECISION,Visible steel finish decision,structure,General / whole project,Structure,General / whole project,Structural shell,Primary structure,Keep steel largely concealed or treated with standard protective finish only.,0.00,,,now,medium,"Planning item only. Upgraded exposed steel treatment would be a conscious design uplift, not a baseline assumption.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
pitched-roof-build-up,PITCHED-ROOF-BUILD-UP,Pitched roof build-up,roofs,General / whole project,Roofing,General / whole project,Roofing & rainwater,Pitched roofs,Controlled pitched roof covering and build-up.,20000.00,,,now,medium,Main pitched roof allowance.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
flat-roof-links-build-up,FLAT-ROOF-LINKS-BUILD-UP,Flat roof link build-up,roofs,General / whole project,Roofing,General / whole project,Roofing & rainwater,Flat roofs,Warm roof link build-up with straightforward detailing.,8000.00,,,now,medium,Keep the link roofs technically disciplined; they are visually quiet but technically sensitive.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
rainwater-goods-and-edge-trims,RAINWATER-GOODS-AND-EDGE-TRIMS,Rainwater goods and roof edge trims,roofs,General / whole project,Roofing,General / whole project,Roofing & rainwater,Rainwater goods,"Standard PPC gutters, outlets, and edge trims.",6000.00,,,now,medium,Budget-bearing roof drainage item.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
rainwater-goods-visibility,RAINWATER-GOODS-VISIBILITY,Rainwater goods visibility strategy,roofs,General / whole project,Roofing,General / whole project,Roofing & rainwater,Rainwater goods,Exposed practical rainwater goods unless a deliberate concealment upgrade is chosen.,0.00,,,now,medium,Planning item only. Concealed systems are a design-led cost uplift and coordination risk.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
wall-build-up-and-insulation,WALL-BUILD-UP-AND-INSULATION,Wall build-up and insulation package,envelope,General / whole project,Envelope,General / whole project,Envelope & cladding,Wall build-up,Compliant wall build-up with disciplined insulation and membrane strategy.,18000.00,,,now,medium,Main thermal envelope allowance before cladding.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
timber-cladding-package,TIMBER-CLADDING-PACKAGE,Timber cladding package,envelope,General / whole project,Envelope,General / whole project,Envelope & cladding,Cladding,Treated timber cladding with controlled hidden-fixing quality level.,48000.00,,,now,medium,Main visual envelope cost driver after glazing.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
airtightness-membranes-and-testing,AIRTIGHTNESS-MEMBRANES-AND-TESTING,Airtightness membranes and testing,envelope,General / whole project,Envelope,General / whole project,Envelope & cladding,Airtightness,"Straightforward airtightness membranes, tapes, and testing within the build budget.",8000.00,,,now,medium,"Keep this explicit, because performance depends on detailing discipline rather than only on product choice.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
soffits-reveals-and-plinth,SOFFITS-REVEALS-AND-PLINTH,"Soffits, reveals, and plinth details",envelope,General / whole project,Envelope,General / whole project,Envelope & cladding,External details,"Simple robust detail package to soffits, reveals, and plinth.",14000.00,,,now,medium,Budget-bearing detail package that controls how ‘resolved’ the house looks.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
cladding-species-and-fixing-method,CLADDING-SPECIES-AND-FIXING-METHOD,Cladding species and fixing method,envelope,General / whole project,Envelope,General / whole project,Envelope & cladding,Cladding,Stay with the controlled larch / cedar style assumption and hidden-fixing intent already in budget.,0.00,,,now,medium,Planning item only. Use it to stop cladding quality drifting beyond the envelope budget.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
main-slider-package,MAIN-SLIDER-PACKAGE,Two 5m slider package,windows,General / whole project,External openings,General / whole project,Glazing & external doors,Large sliders,Two large minimal-frame aluminium sliders within the live glazing budget.,48000.00,2.00,doors,now,medium,This is the main glazing cost driver in the house.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
secondary-window-package,SECONDARY-WINDOW-PACKAGE,Secondary window package,windows,General / whole project,External openings,General / whole project,Glazing & external doors,Windows,"Remaining windows including the large guest-room window, corner window, master windows, utility window, and WC window.",18000.00,,,now,medium,Keep this grouped to avoid drifting through one-off bespoke frame requests.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
front-door-assembly,FRONT-DOOR-ASSEMBLY,Front door and side-glazing assembly,windows,General / whole project,External openings,General / whole project,Glazing & external doors,Entrance doors,"Architectural entrance assembly around 3m overall width, with one-sided glazing and controlled detailing.",8000.00,,,now,medium,Budget-bearing entrance composition item.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
garage-door-package,GARAGE-DOOR-PACKAGE,Garage door package,windows,General / whole project,External openings,General / whole project,Glazing & external doors,Garage doors,Insulated sectional garage door within the control budget.,6000.00,,,now,medium,Budget-bearing garage opening item.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
glazing-opening-schedule,GLAZING-OPENING-SCHEDULE,Glazing opening schedule and ventilation strategy,windows,General / whole project,External openings,General / whole project,Glazing & external doors,Opening logic,Only openable windows where they are functionally needed; fixed panes elsewhere for cost and performance control.,0.00,,,now,medium,Planning item only. Use it to stop the glazing package becoming over-complicated.,"Coordinate Part O overheating, purge ventilation, privacy, and furniture layout when deciding which panes open.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
ashp-unit,ASHP-UNIT,Air source heat pump,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Heating plant,Single ASHP sized for the house within the control budget.,14000.00,,,now,medium,Main heating plant cost item.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
plant-room-fit-out,PLANT-ROOM-FIT-OUT,Plant room fit-out,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Plant room,Controlled plant room with practical layout and acoustic discipline.,5000.00,,,now,medium,Keep plant-room coordination visible rather than treating it as contractor tidying-up.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
underfloor-heating-system,UNDERFLOOR-HEATING-SYSTEM,Underfloor heating system,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Heat emitters,Wet UFH through the main house within the control budget.,18000.00,,,now,medium,Main heat distribution item based on the all-electric servicing strategy.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
mvhr-system,MVHR-SYSTEM,MVHR system,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Ventilation,Whole-house MVHR system within the control budget.,12000.00,,,now,medium,Baseline assumption for ventilation and indoor air quality control.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
plumbing-distribution,PLUMBING-DISTRIBUTION,Plumbing distribution and wastes,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Domestic plumbing,"Standard hot, cold, and waste plumbing distribution within the control budget.",13000.00,,,now,medium,Main plumbing installation budget outside the bathroom and kitchen product allowances.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
hot-water-cylinder-and-buffer-tank,HOT_WATER_CYLINDER_AND_BUFFER_TANK,Hot water cylinder and buffer tank,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Heating plant,Standard pressurised hot water cylinder and any small buffer requirement are assumed within the ASHP plant allowance.,0.00,,,now,medium,"Planning item only. Keep it visible so plant-room space, access, and sizing are coordinated early.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
pressurised-water-system,PRESSURISED_WATER_SYSTEM,Pressurised water system,mech_elec,General / whole project,Heating & plant,General / whole project,"Heating, plumbing & ventilation",Domestic plumbing,"Pump, expansion vessel, and manifold arrangement are assumed within the current plumbing and plant allowances.",0.00,,,now,medium,Planning item only. Useful for locking in pressure strategy and cupboard / plant-room coordination.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
electrical-first-and-second-fix,ELECTRICAL-FIRST-AND-SECOND-FIX,Electrical first and second fix,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Core electrical install,"Full-house wiring, containment, and core first/second-fix electrical install excluding the separately tracked switch and dimmer plate package.",18000.00,,,now,medium,Main electrical labour and core installation allowance before the visible switch hardware selection.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-07 06:16:25.616606+00
decorative-light-fittings,DECORATIVE-LIGHT-FITTINGS,Decorative light fittings and feature pendants,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Decorative lighting,"Controlled whole-house decorative fitting allowance for pendants, wall lights, and selected feature fittings beyond the recessed spotlight package.",8000.00,,,later,medium,Separate this from electrical infrastructure so decorative lighting stays visible as a client choice budget.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:27:07.728251+00
data-alarm-and-entry-infrastructure,DATA-ALARM-AND-ENTRY-INFRASTRUCTURE,"Data, alarm, and entry infrastructure",mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,"Basic data backbone, alarm routing, and front-door entry infrastructure.",4000.00,,,now,medium,Controlled low-voltage backbone allowance.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
external-power-and-lighting-infrastructure,EXTERNAL-POWER-AND-LIGHTING-INFRASTRUCTURE,External power and lighting infrastructure,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",External power,Basic outside power and external lighting infrastructure.,4000.00,,,now,medium,Held separately so external electrical scope does not get forgotten until too late.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
consumer-unit-and-comms-cupboard,CONSUMER-UNIT-AND-COMMS-CUPBOARD,Consumer unit and communications cupboard location,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,"Keep a disciplined dedicated location for the consumer unit, router, and data hub.",0.00,,,now,medium,Planning item only. Cost is already within the electrical and data allowances.,Fix this now so it is not dumped into an inconvenient cupboard late in the design.,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
recessed-ceiling-spotlights,RECESSED_CEILING_SPOTLIGHTS,Spotlights,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Lighting infrastructure,"Allowance for 18 recessed LED ceiling spotlights: 8 across the main living volume, 2 per bedroom across 3 bedrooms, and 4 in the office.",2500.00,44.00,spotlights,now,medium,Specific provision for the recessed downlight package so it is carried explicitly rather than assumed to disappear inside the core electrical figure.,,selected,Baseline allowance,https://www.arrowelectricals.co.uk,https://www.arrowelectricals.co.uk/kos-ii-matt-white/,2200.00,"Vertical and Angled. Assuming 44 units in total at around £50 per light
https://www.arrowelectricals.co.uk/ascoli-flush-fire-rated-textured-white/",2026-04-04 19:27:07.728251+00,2026-04-05 10:41:00.259146+00
consumer-unit-and-main-board,CONSUMER_UNIT_AND_MAIN_BOARD,Consumer unit and main board,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Core electrical install,Consumer unit and main board arrangement are assumed within the core electrical install budget.,0.00,,,now,medium,"Planning item only. Use it to confirm board count, three-phase strategy, and final location.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
smart-lighting-control-system,SMART_LIGHTING_CONTROL_SYSTEM,Smart lighting control system,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Lighting controls,No dedicated smart lighting control system is included in the current baseline beyond standard dimming and switching.,0.00,,,later,medium,"Later-stage upgrade item for scene control, app control, or systems like Lutron, KNX, or similar.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
network-and-wifi-hardware,NETWORK_AND_WIFI_HARDWARE,Network and Wi-Fi hardware,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,"Router, switching, and Wi-Fi access points are assumed to sit within the low-voltage backbone allowance.",0.00,,,now,medium,Planning item only. Keep network hardware visible so coverage and cupboard space are considered deliberately.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
intruder-alarm-system,INTRUDER_ALARM_SYSTEM,Intruder alarm system,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,No dedicated monitored intruder alarm system is included beyond basic alarm routing and cabling.,0.00,,,later,medium,Later-stage security upgrade item if you want a full zoned alarm package.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
cctv-and-video-doorbell,CCTV_AND_VIDEO_DOORBELL,CCTV and video doorbell,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,No dedicated CCTV or smart doorbell hardware is included in the baseline beyond cabling routes.,0.00,,,later,medium,"Later-stage upgrade item for external cameras, NVR, and app-connected entry monitoring.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
smart-locks-and-access-control,SMART_LOCKS_AND_ACCESS_CONTROL,Smart locks and access control,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,"Standard locksets only are assumed in the current baseline, with no smart locking or wider access-control package included.",0.00,,,later,medium,"Later-stage upgrade item for app-based locking, intercom-linked access, or integrated security control.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
fire-alarm-and-co-detection,FIRE_ALARM_AND_CO_DETECTION,Fire alarm and CO detection,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Data & security,"Interlinked smoke and heat detection are assumed within the core electrical install, with no premium smart-system uplift carried.",0.00,,,now,medium,"Planning item only. Keep detector strategy coordinated across open-plan, hall, and bedroom zones.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
physical-switches-and-dimmer-plates,PHYSICAL_SWITCHES_AND_DIMMER_PLATES,Physical switches and dimmer plates,mech_elec,General / whole project,Electrical backbone,General / whole project,"Electrical, lighting & data",Lighting controls,"Controlled whole-house allowance for physical light switches, dimmers, and switch plate finish family.",2000.00,,,later,medium,"Split out so plate finish, dimmer count, and hardware quality can be chosen deliberately without hiding inside the general electrical install.",,open,,,,,,2026-04-07 06:16:25.616606+00,2026-04-07 06:16:25.616606+00
internal-doors-package,INTERNAL-DOORS-PACKAGE,Internal doors package,joinery,General / whole project,Joinery & doors,General / whole project,"Joinery, doors & stairs",Internal doors,Paint-grade or controlled veneer internal doors within the joinery budget.,8000.00,,,now,medium,Main internal doors and frames allowance.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
ironmongery-package,IRONMONGERY-PACKAGE,Ironmongery package,joinery,General / whole project,Joinery & doors,General / whole project,"Joinery, doors & stairs",Ironmongery,Single restrained ironmongery family across the house.,0.00,,,later,medium,Planning item only. Cost is assumed within the internal doors package unless a premium finish family is chosen.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
skirtings-and-architraves,SKIRTINGS-AND-ARCHITRAVES,Skirtings and architraves,joinery,General / whole project,Joinery & doors,General / whole project,"Joinery, doors & stairs",Trim carpentry,Simple controlled trim carpentry profile across the house.,0.00,,,later,medium,Planning item only. Cost is assumed inside the general joinery package.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
stair-structure,STAIR-STRUCTURE,Stair structure and substrate,internal_buildup,General / whole project,Joinery & doors,General / whole project,"Joinery, doors & stairs",Stairs,Controlled stair structure and paint-grade substrate.,6000.00,,,now,medium,Budget-bearing stair structure allowance before any decorative balustrade uplift.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
stair-balustrade-and-handrail,STAIR-BALUSTRADE-AND-HANDRAIL,Stair balustrade and handrail,joinery,General / whole project,Joinery & doors,General / whole project,"Joinery, doors & stairs",Stairs,Straightforward balustrade and handrail package.,4000.00,,,now,medium,Budget-bearing finish item for the stair once the structure exists.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
bathroom-glass-and-screens,BATHROOM-GLASS-AND-SCREENS,Bathroom glass screens and shower enclosures,bathrooms,General / whole project,Bathrooms,General / whole project,Bathrooms & sanitaryware,Shower glass,Controlled allowance for shower glass and necessary bathroom screens across the house.,4000.00,,,now,medium,Separate this from the shower fittings so glass and enclosure creep stays visible.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
whole-house-decorating,WHOLE-HOUSE-DECORATING,Whole-house decorating package,finishes,General / whole project,Finishes,General / whole project,"Floors, walls & decorating",Decorating,Controlled whole-house painting and decorating package with standard systems only.,18000.00,,,later,medium,Explicitly holds the decorating budget that otherwise disappears into general contractor numbers.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
specialist-clay-plaster-finish,SPECIALIST_CLAY_PLASTER_FINISH,Specialist clay plaster finish,finishes,General / whole project,Finishes,General / whole project,"Floors, walls & decorating",Specialist plaster,No whole-house clay plaster or similar specialist wall-and-ceiling finish is included in the current baseline.,0.00,,,later,medium,Later-stage upgrade item if you want to replace the standard decorated plaster finish with a specialist clay system.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
entrance-floor-finish,ENTRANCE-FLOOR-FINISH,Entrance floor finish,finishes,Entranceway,Finishes,Entranceway,"Floors, walls & decorating",Entrance floors,Controlled terrazzo floor within the entrance allowance.,3500.00,,,now,medium,"This is one of the justified places for a strong, durable floor finish.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
entrance-wall-finish,ENTRANCE-WALL-FINISH,Entrance wall finish,finishes,Entranceway,Finishes,Entranceway,"Floors, walls & decorating",Entrance walls,Paint-grade wall finish with no specialist decorative treatment.,0.00,,,later,medium,Planning item only. Keep decorative upgrades deliberate rather than accidental.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
entrance-storage-joinery,ENTRANCE-STORAGE-JOINERY,Entrance storage joinery,joinery,Entranceway,Joinery & storage,Entranceway,"Joinery, doors & stairs",Entrance storage,Simple coat and shoe storage within the control budget.,2000.00,,,now,medium,"Small but important discipline item; entry clutter is usually a design failure, not a styling issue.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
entrance-power-layout,ENTRANCE-POWER-LAYOUT,Power layout and smart entry points,mech_elec,Entranceway,Electrical & lighting,Entranceway,"Electrical, lighting & data",Entrance power,"Allow 2 twin sockets, doorbell / intercom position, alarm routing, and smoke detection within the main electrical budget.",0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
entrance-lighting-layout,ENTRANCE-LIGHTING-LAYOUT,Lighting layout,mech_elec,Entranceway,Electrical & lighting,Entranceway,"Electrical, lighting & data",Entrance lighting,Allow approximately 4 to 6 lighting points with a layered entry sequence.,0.00,,,now,medium,Planning item only. Coordinate arrival experience and glare from the glazed entrance composition.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
living-kitchen-floor-finish,LIVING-KITCHEN-FLOOR-FINISH,Main living volume floor finish,finishes,Kitchen / dining / living,Finishes,Kitchen / dining / living,"Floors, walls & decorating",Living floors,Polished terrazzo across the principal living volume within the control budget.,14500.00,,,now,medium,Major finish item and one of the visible ‘good money’ decisions in the house.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
living-walls-and-ceiling-finish,LIVING-WALLS-AND-CEILING-FINISH,Walls and ceiling finish,finishes,Kitchen / dining / living,Finishes,Kitchen / dining / living,"Floors, walls & decorating",Living walls,Paint-grade wall and ceiling finish with no specialist plaster or microcement baseline.,0.00,,,later,medium,Planning item only. Decorative upgrades here can destabilize the budget quickly.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
media-joinery,MEDIA-JOINERY,Media and living-room joinery,joinery,Kitchen / dining / living,Joinery & storage,Kitchen / dining / living,"Joinery, doors & stairs",Media joinery,Minimal or no bespoke media joinery in the baseline budget.,2000.00,,,now,medium,Small allowance only; a more bespoke installation would need to be a conscious upgrade.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
living-power-layout,LIVING-POWER-LAYOUT,Power and appliance layout,mech_elec,Kitchen / dining / living,Electrical & lighting,Kitchen / dining / living,"Electrical, lighting & data",Living power & data,"Allow approximately 18 twin sockets, appliance feeds, and 2 to 3 data points within the main electrical budget.",0.00,,,now,medium,Planning item only. This is the room most likely to be under-specified if power is treated casually.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
living-lighting-layout,LIVING-LIGHTING-LAYOUT,Lighting layout and scenes,mech_elec,Kitchen / dining / living,Electrical & lighting,Kitchen / dining / living,"Electrical, lighting & data",Living lighting,"Allow approximately 12 to 16 lighting points including 8 recessed ceiling spotlights across the main volume, task lighting, and feature pendants within the main electrical budget.",0.00,,,now,medium,"Planning item only. The room needs layered lighting, with the 8 recessed spotlights treated as the ambient layer rather than the whole scheme.","Coordinate pendants, task lighting, island lighting, and glare control at the big sliders.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:27:07.728251+00
